sample_index,time_ps,harmonic_hartree,total_PE_hartree,intramolecular_hartree,lj_hartree,coulombic_hartree,T_kinetic_K
54,15500.000000,0.2255574575,-0.4657833407,0.2255574575,-0.6913407982,0.0000000000,400.426448
55,15600.000000,0.2245089041,-0.4721033359,0.2245089041,-0.6966122400,0.0000000000,403.039161
56,15700.000000,0.2268736555,-0.4671861222,0.2268736555,-0.6940597778,0.0000000000,416.956066
57,15800.000000,0.2606694782,-0.4396916411,0.2606694782,-0.7003611192,0.0000000000,361.832881
58,15900.000000,0.2363686456,-0.4572163013,0.2363686456,-0.6935849469,0.0000000000,414.169522
59,16000.000000,0.2168212621,-0.4556228002,0.2168212621,-0.6724440623,0.0000000000,398.818588
60,16100.000000,0.2386608343,-0.4639963415,0.2386608343,-0.7026571758,0.0000000000,379.101595
61,16200.000000,0.2302699089,-0.4442231791,0.2302699089,-0.6744930880,0.0000000000,409.167570
62,16300.000000,0.2564513051,-0.4468037235,0.2564513051,-0.7032550286,0.0000000000,400.377783
63,16400.000000,0.2476172993,-0.4281508407,0.2476172993,-0.6757681400,0.0000000000,399.879623
64,16500.000000,0.2322612585,-0.4622430422,0.2322612585,-0.6945043007,0.0000000000,396.161790
65,16600.000000,0.2328669045,-0.4792113861,0.2328669045,-0.7120782906,0.0000000000,379.471495
66,16700.000000,0.2099606792,-0.4885627760,0.2099606792,-0.6985234552,0.0000000000,422.226438
67,16800.000000,0.2286644293,-0.4490343534,0.2286644293,-0.6776987827,0.0000000000,404.751084
68,16900.000000,0.2612674952,-0.4213938505,0.2612674952,-0.6826613457,0.0000000000,375.827658
69,17000.000000,0.2466786173,-0.4662121359,0.2466786173,-0.7128907531,0.0000000000,372.158686
70,17100.000000,0.2209669843,-0.4620810608,0.2209669843,-0.6830480450,0.0000000000,398.170519
71,17200.000000,0.2068409378,-0.4735474707,0.2068409378,-0.6803884084,0.0000000000,373.658958
72,17300.000000,0.2439443565,-0.4304950489,0.2439443565,-0.6744394054,0.0000000000,391.030287
73,17400.000000,0.2310949388,-0.4494237376,0.2310949388,-0.6805186764,0.0000000000,407.771909
74,17500.000000,0.2833154350,-0.4367489113,0.2833154350,-0.7200643463,0.0000000000,361.283708
75,17600.000000,0.2627045983,-0.4323792468,0.2627045983,-0.6950838450,0.0000000000,397.509686
76,17700.000000,0.2282099925,-0.4405430744,0.2282099925,-0.6687530669,0.0000000000,413.082137
77,17800.000000,0.2372182791,-0.4700328218,0.2372182791,-0.7072511009,0.0000000000,374.254369
78,17900.000000,0.2279134021,-0.4794715638,0.2279134021,-0.7073849658,0.0000000000,379.596936
79,18000.000000,0.2398194290,-0.4575438875,0.2398194290,-0.6973633165,0.0000000000,420.861159
80,18100.000000,0.2373620280,-0.4340910962,0.2373620280,-0.6714531242,0.0000000000,407.796653
81,18200.000000,0.2464110851,-0.4669618193,0.2464110851,-0.7133729045,0.0000000000,398.083721
82,18300.000000,0.2508766664,-0.4475965105,0.2508766664,-0.6984731769,0.0000000000,386.958958
83,18400.000000,0.2371391160,-0.4294756437,0.2371391160,-0.6666147597,0.0000000000,398.989248
84,18500.000000,0.2370512040,-0.4262618483,0.2370512040,-0.6633130523,0.0000000000,396.460749
85,18600.000000,0.2186197188,-0.4938483252,0.2186197188,-0.7124680440,0.0000000000,396.645816
86,18700.000000,0.2266460018,-0.4932647983,0.2266460018,-0.7199108000,0.0000000000,392.527506
87,18800.000000,0.2311056516,-0.4484507882,0.2311056516,-0.6795564398,0.0000000000,405.151483
88,18900.000000,0.2363418507,-0.4316583948,0.2363418507,-0.6680002456,0.0000000000,411.890611
89,19000.000000,0.2090392793,-0.5127911359,0.2090392793,-0.7218304152,0.0000000000,390.947091
90,19100.000000,0.2070033881,-0.4317485098,0.2070033881,-0.6387518979,0.0000000000,416.252128
91,19200.000000,0.2078667886,-0.4771615367,0.2078667886,-0.6850283253,0.0000000000,390.524180
92,19300.000000,0.2189178691,-0.4769579061,0.2189178691,-0.6958757752,0.0000000000,392.334843
93,19400.000000,0.2123226453,-0.4494143778,0.2123226453,-0.6617370231,0.0000000000,407.891673
94,19500.000000,0.1686999597,-0.5270729964,0.1686999597,-0.6957729561,0.0000000000,411.974786
95,19600.000000,0.2174324840,-0.4215639688,0.2174324840,-0.6389964528,0.0000000000,385.076962
96,19700.000000,0.1911748414,-0.4788343553,0.1911748414,-0.6700091967,0.0000000000,414.854902
97,19800.000000,0.2140130439,-0.4576749375,0.2140130439,-0.6716879814,0.0000000000,394.693152
98,19900.000000,0.2182008584,-0.4263547534,0.2182008584,-0.6445556118,0.0000000000,363.048603
99,20000.000000,0.1969323897,-0.4425653119,0.1969323897,-0.6394977016,0.0000000000,387.173702
100,20100.000000,0.2131857272,-0.4406256521,0.2131857272,-0.6538113793,0.0000000000,396.516735
