time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std,E_bond_kjmol,E_bond_kjmol_std,E_nonbonded_kjmol,E_nonbonded_kjmol_std,E_cav_harmonic_kjmol,E_cav_harmonic_kjmol_std,E_cav_coupling_kjmol,E_cav_coupling_kjmol_std,E_cav_dse_kjmol,E_cav_dse_kjmol_std
0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100000,100.0000,0.0000,100.7260,2.7824,80.4121,7.4769,106.9664,2.7386,113.2016,10.5258,-3696.7749,17.9319,1.2749,1.0055,0.0000,0.0000,0.0000,0.0000
0.200000,100.0000,0.0000,101.5697,2.3029,81.7540,5.5021,106.9723,1.7154,115.0906,7.7456,-3696.6736,11.1916,1.7152,0.9257,0.0000,0.0000,0.0000,0.0000
0.300000,100.0000,0.0000,100.3414,3.1407,89.1168,3.7893,106.1341,3.1894,125.4557,5.3345,-3702.2434,20.6714,1.2858,0.7275,0.0000,0.0000,0.0000,0.0000
0.400000,100.0000,0.0000,101.8007,3.2151,79.0022,7.3652,106.5038,2.7973,111.2167,10.3684,-3699.7965,18.2219,1.2921,0.8539,0.0000,0.0000,0.0000,0.0000
0.500000,100.0000,0.0000,100.8137,4.8226,85.4425,3.8043,106.9960,2.8488,120.2832,5.3556,-3696.5888,18.5698,1.8059,0.5624,0.0000,0.0000,0.0000,0.0000
0.600000,100.0000,0.0000,101.7438,3.0185,86.1795,6.5692,105.3268,3.8520,121.3206,9.2479,-3707.6019,25.2741,0.8734,0.7339,0.0000,0.0000,0.0000,0.0000
0.700000,100.0000,0.0000,101.0310,3.9367,78.9139,6.7508,107.3970,3.2078,111.0923,9.5035,-3694.0065,20.8956,1.8501,1.3860,0.0000,0.0000,0.0000,0.0000
0.800000,100.0000,0.0000,99.4461,3.4354,87.7110,4.0455,107.2689,4.2752,123.4766,5.6951,-3694.9450,27.6898,1.1566,0.4460,0.0000,0.0000,0.0000,0.0000
0.900000,100.0000,0.0000,100.8026,4.0651,81.2398,7.4067,107.5918,2.4283,114.3667,10.4269,-3692.6803,15.8376,1.2565,0.8824,0.0000,0.0000,0.0000,0.0000
1.000000,100.0000,0.0000,101.1551,4.6514,81.3252,5.7746,108.1379,2.8221,114.4869,8.1293,-3689.1607,18.3035,1.7058,0.9300,0.0000,0.0000,0.0000,0.0000
1.100000,100.0000,0.0000,100.3072,3.9574,87.4262,4.4513,107.5950,3.0295,123.0757,6.2664,-3692.7041,19.7667,0.8389,0.4784,0.0000,0.0000,0.0000,0.0000
1.200000,100.0000,0.0000,103.2148,3.4782,78.5101,6.8079,106.8208,4.2627,110.5239,9.5839,-3697.8664,27.7385,1.5872,1.2689,0.0000,0.0000,0.0000,0.0000
1.300000,100.0000,0.0000,101.2508,2.5672,84.4938,5.1733,108.4349,4.5084,118.9476,7.2828,-3687.3984,29.1911,1.2101,0.5193,0.0000,0.0000,0.0000,0.0000
1.400000,100.0000,0.0000,100.5474,3.6129,84.9874,4.7965,108.6122,3.7714,119.6425,6.7524,-3686.1691,24.4407,1.0689,0.7028,0.0000,0.0000,0.0000,0.0000
1.500000,100.0000,0.0000,102.3798,4.7070,79.0883,4.8253,109.3311,3.7062,111.3379,6.7928,-3681.5148,24.0192,1.6240,1.1518,0.0000,0.0000,0.0000,0.0000
