time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std,E_bond_kjmol,E_bond_kjmol_std,E_nonbonded_kjmol,E_nonbonded_kjmol_std,E_cav_harmonic_kjmol,E_cav_harmonic_kjmol_std,E_cav_coupling_kjmol,E_cav_coupling_kjmol_std,E_cav_dse_kjmol,E_cav_dse_kjmol_std
2.600000,100.0000,0.0000,98.6912,4.0126,82.5491,6.5661,106.4682,2.7753,116.2100,9.2435,-3700.0289,18.1909,1.3313,0.8532,0.0000,0.0000,0.0000,0.0000
2.700000,100.0000,0.0000,98.1759,3.9663,85.2303,5.5076,105.4257,3.7369,119.9844,7.7535,-3706.9414,24.5569,1.2285,0.7553,0.0000,0.0000,0.0000,0.0000
2.800000,100.0000,0.0000,98.8907,3.5073,78.8588,5.0262,106.1271,3.5551,111.0148,7.0757,-3702.3275,23.3663,1.4730,0.8325,0.0000,0.0000,0.0000,0.0000
2.900000,100.0000,0.0000,97.2618,3.9891,83.5986,5.6861,106.5324,4.5261,117.6873,8.0048,-3699.7825,29.5428,1.3438,1.0916,0.0000,0.0000,0.0000,0.0000
3.000000,100.0000,0.0000,99.5189,4.1683,81.3220,6.5698,105.3388,3.8997,114.4824,9.2488,-3707.5264,25.4985,1.3282,0.6919,0.0000,0.0000,0.0000,0.0000
3.100000,100.0000,0.0000,97.7588,3.6980,78.0403,7.4634,107.7411,4.2901,109.8625,10.5067,-3691.8792,27.9997,1.4639,0.8928,0.0000,0.0000,0.0000,0.0000
3.200000,100.0000,0.0000,97.9162,2.7931,82.8657,5.8677,106.4723,3.3260,116.6556,8.2603,-3700.0480,21.7872,1.4010,1.0820,0.0000,0.0000,0.0000,0.0000
3.300000,100.0000,0.0000,98.4004,2.3280,78.1178,5.6785,107.1836,3.0693,109.9717,7.9940,-3695.3843,20.0114,1.1893,0.7408,0.0000,0.0000,0.0000,0.0000
3.400000,100.0000,0.0000,99.2521,2.7296,79.3895,7.7361,106.9681,4.7200,111.7620,10.8907,-3696.9612,30.7103,1.2146,0.8694,0.0000,0.0000,0.0000,0.0000
3.500000,100.0000,0.0000,98.7716,3.0113,83.6400,6.2496,105.7775,3.6031,117.7456,8.7979,-3704.6221,23.7596,0.9175,0.4132,0.0000,0.0000,0.0000,0.0000
3.600000,100.0000,0.0000,99.5635,2.0748,78.0068,5.5471,106.1491,3.6936,109.8154,7.8091,-3702.1940,24.0467,1.2006,0.7227,0.0000,0.0000,0.0000,0.0000
3.700000,100.0000,0.0000,99.4282,2.9829,82.5207,5.4314,106.5026,2.6664,116.1699,7.6461,-3699.7964,17.5028,0.9068,0.6248,0.0000,0.0000,0.0000,0.0000
3.800000,100.0000,0.0000,98.7009,3.4464,83.9569,5.4327,106.7380,3.5244,118.1917,7.6480,-3698.3311,23.0502,0.9101,0.5830,0.0000,0.0000,0.0000,0.0000
