# turn-on energies from lambda=0 equilibrium snapshots
# lambda_eval=0.042  T=100.0 K  burn_in_ps=1000.0
time_ps  E_coup_turnon_kjmol  E_coup_relaxed_kjmol  E_dse_kjmol
2580.000000  -9.22542095  -1708.31726074  854.15826416
2590.000000  -7.23787546  -1253.03149414  626.51550293
2600.000000  -38.82252121  -3198.55102539  1599.27490234
2610.000000  17.34403419  -446.21884155  223.10932922
2620.000000  -43.96268082  -1126.28833008  563.14385986
2630.000000  7.78691530  -861.52032471  430.75994873
2640.000000  -12.43197823  -864.43896484  432.21932983
2650.000000  -2.46076703  -1571.74108887  785.87017822
2660.000000  53.15040970  -756.53918457  378.26943970
2670.000000  13.68061352  -183.37142944  91.68567657
2680.000000  -14.42840385  -1674.71215820  837.35571289
2690.000000  2.41957545  -17.38375473  8.69187450
2700.000000  -52.02286530  -1138.00354004  569.00152588
2710.000000  0.70313346  -310.74243164  155.37115479
2720.000000  -0.94564784  -38.60108185  19.30053329
2730.000000  17.66708755  -198.55091858  99.27541351
2740.000000  -4.89244986  -67.10851288  33.55424500
2750.000000  2.46203208  -215.48684692  107.74338531
2760.000000  16.14636421  -205.16287231  102.58138275
2770.000000  -7.76626444  -63.57677078  31.78837013
2780.000000  8.77984333  -213.50109863  106.75051117
2790.000000  0.70173234  -89.36064148  44.68030167
2800.000000  4.03657579  -847.76257324  423.88110352
2810.000000  -17.06490135  -991.76879883  495.88418579
2820.000000  -70.57742310  -3741.50610352  1870.75244141
2830.000000  -25.39464378  -163.75689697  81.87841797
2840.000000  -12.14634323  -1525.25817871  762.62878418
2850.000000  7.26324129  -1085.44433594  542.72192383
2860.000000  -40.66796494  -1430.33483887  715.16711426
2870.000000  -1.87242544  -208.09350586  104.04669952
2880.000000  -13.00684261  -607.82330322  303.91149902
2890.000000  -16.42906189  -148.74072266  74.37033081
2900.000000  14.53175259  -298.78924561  149.39454651
2910.000000  6.44903231  -545.61163330  272.80569458
2920.000000  31.52859306  -936.72448730  468.36206055
2930.000000  -52.09077072  -1041.14440918  520.57196045
2940.000000  -18.06019592  -303.49441528  151.74716187
2950.000000  -4.53019762  -553.57647705  276.78811646
2960.000000  27.11480331  -2415.42163086  1207.71032715
2970.000000  11.77379131  -1021.93371582  510.96664429
2980.000000  -2.52350402  -1248.44970703  624.22467041
2990.000000  41.13504410  -362.93853760  181.46919250
3000.000000  -24.39907265  -277.59967041  138.79977417
3010.000000  5.73435259  -74.82091522  37.41044235
3020.000000  -10.89497280  -536.88800049  268.44390869
3030.000000  66.37982941  -1981.89282227  990.94598389
3040.000000  -33.11948013  -5423.91406250  2711.95581055
3050.000000  37.45830154  -4033.31005859  2016.65417480
3060.000000  -11.13209915  -387.59780884  193.79882812
3070.000000  14.69066715  -484.80838013  242.40409851
3080.000000  24.11562920  -1696.56848145  848.28387451
3090.000000  -102.03493500  -2532.42163086  1266.21020508
3100.000000  40.83940506  -835.12524414  417.56246948
3110.000000  -12.82193851  -1319.74157715  659.87054443
3120.000000  -42.67153168  -1418.34509277  709.17224121
3130.000000  61.51930618  -1321.94299316  660.97119141
3140.000000  -26.54147720  -2111.04174805  1055.52050781
3150.000000  -100.58020782  -2449.11694336  1224.55798340
3160.000000  -18.25463676  -1384.96984863  692.48461914
