time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std,E_bond_kjmol,E_bond_kjmol_std,E_nonbonded_kjmol,E_nonbonded_kjmol_std,E_cav_harmonic_kjmol,E_cav_harmonic_kjmol_std,E_cav_coupling_kjmol,E_cav_coupling_kjmol_std,E_cav_dse_kjmol,E_cav_dse_kjmol_std
0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100000,100.0000,0.0000,101.1087,2.7055,76.7043,6.1392,108.6387,3.7494,107.9817,8.6425,-3685.9940,24.2153,1.8958,2.8922,0.0000,0.0000,0.0000,0.0000
0.200000,100.0000,0.0000,101.6870,4.7876,82.2245,5.6861,107.7336,2.3484,115.7529,8.0046,-3691.7535,15.2751,2.1186,1.4465,0.0000,0.0000,0.0000,0.0000
0.300000,100.0000,0.0000,99.4261,2.6459,84.8184,4.9579,108.0234,3.3999,119.4045,6.9795,-3689.9517,22.0823,1.4206,0.8965,0.0000,0.0000,0.0000,0.0000
0.400000,100.0000,0.0000,102.3774,3.1906,73.4504,4.4878,108.0477,2.3371,103.4010,6.3178,-3689.7136,15.2437,2.1992,2.1930,0.0000,0.0000,0.0000,0.0000
0.500000,100.0000,0.0000,99.9918,3.9598,83.8661,3.8945,108.2571,3.8371,118.0640,5.4825,-3688.4768,24.8531,1.8271,0.4735,0.0000,0.0000,0.0000,0.0000
0.600000,100.0000,0.0000,100.9109,2.3147,79.6023,7.2623,107.7516,3.0645,112.0615,10.2236,-3691.6887,19.9360,1.1634,1.3147,0.0000,0.0000,0.0000,0.0000
0.700000,100.0000,0.0000,102.2298,4.2830,74.9460,3.5571,107.9232,3.9324,105.5066,5.0076,-3690.6559,25.6285,2.0999,1.5560,0.0000,0.0000,0.0000,0.0000
0.800000,100.0000,0.0000,99.6549,3.3913,86.3554,3.5669,108.5346,2.5010,121.5683,5.0213,-3686.5656,16.1293,1.2453,0.7502,0.0000,0.0000,0.0000,0.0000
0.900000,100.0000,0.0000,101.0057,2.5975,76.8883,7.6842,109.7782,2.7933,108.2408,10.8175,-3678.5513,17.9949,1.9740,1.6361,0.0000,0.0000,0.0000,0.0000
1.000000,100.0000,0.0000,102.7828,2.8565,81.3276,4.9032,107.6253,3.0963,114.4903,6.9025,-3692.5103,20.0258,1.7052,0.9299,0.0000,0.0000,0.0000,0.0000
1.100000,100.0000,0.0000,98.4431,3.3796,86.6088,6.6170,109.8768,2.8770,121.9251,9.3153,-3677.9228,18.6185,1.4559,1.5252,0.0000,0.0000,0.0000,0.0000
1.200000,100.0000,0.0000,102.1776,1.8008,76.6310,5.3237,108.4124,2.8100,107.8786,7.4945,-3687.3780,18.0948,1.6507,1.0173,0.0000,0.0000,0.0000,0.0000
1.300000,100.0000,0.0000,100.3021,2.9108,86.2771,4.9414,108.4713,2.8882,121.4581,6.9563,-3687.0030,18.6589,1.2961,0.7299,0.0000,0.0000,0.0000,0.0000
1.400000,100.0000,0.0000,99.8508,3.2400,82.8106,6.0050,108.8158,1.9097,116.5781,8.4536,-3684.7117,12.3965,1.5676,1.2331,0.0000,0.0000,0.0000,0.0000
1.500000,100.0000,0.0000,100.6821,3.0724,77.0455,5.7531,110.4432,3.2596,108.4621,8.0991,-3674.3076,20.9681,1.5173,0.5595,0.0000,0.0000,0.0000,0.0000
1.600000,100.0000,0.0000,101.6278,3.8827,86.3536,3.5102,107.6433,2.7128,121.5657,4.9415,-3692.3653,17.6494,1.5012,0.9341,0.0000,0.0000,0.0000,0.0000
1.700000,100.0000,0.0000,100.5116,3.1044,77.3430,5.5550,110.2759,3.2825,108.8809,7.8202,-3675.3845,21.0798,1.6591,0.9488,0.0000,0.0000,0.0000,0.0000
1.800000,100.0000,0.0000,102.6313,4.2264,77.9192,7.2989,108.7503,3.4350,109.6921,10.2751,-3685.2426,22.2331,1.6171,0.8142,0.0000,0.0000,0.0000,0.0000
1.900000,100.0000,0.0000,100.5031,4.6061,83.9699,4.1319,108.7711,2.3618,118.2101,5.8167,-3685.0260,15.2602,1.1083,0.7816,0.0000,0.0000,0.0000,0.0000
