time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std,E_bond_kjmol,E_bond_kjmol_std,E_nonbonded_kjmol,E_nonbonded_kjmol_std,E_cav_harmonic_kjmol,E_cav_harmonic_kjmol_std,E_cav_coupling_kjmol,E_cav_coupling_kjmol_std,E_cav_dse_kjmol,E_cav_dse_kjmol_std
0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100000,100.0000,0.0000,100.6891,2.1083,85.4894,5.6225,109.8344,2.6293,120.3491,7.9152,-3678.1773,16.9029,1.1737,1.4304,0.0000,0.0000,0.0000,0.0000
0.200000,100.0000,0.0000,102.8784,3.5730,81.2304,4.0315,109.2072,2.4912,114.3535,5.6754,-3682.2147,16.0875,0.9665,0.5193,0.0000,0.0000,0.0000,0.0000
0.300000,100.0000,0.0000,102.8776,1.8623,91.5483,3.0190,107.2579,3.0451,128.8787,4.2500,-3694.8980,19.8131,1.7236,1.1380,0.0000,0.0000,0.0000,0.0000
0.400000,100.0000,0.0000,102.6618,1.6673,82.9645,7.1490,108.8522,2.5155,116.7947,10.0641,-3684.5107,16.2397,0.6620,0.4165,0.0000,0.0000,0.0000,0.0000
0.500000,100.0000,0.0000,103.1031,2.7056,83.6747,2.3650,108.3224,3.2914,117.7945,3.3293,-3688.0025,21.3361,1.6012,0.4079,0.0000,0.0000,0.0000,0.0000
0.600000,100.0000,0.0000,101.2534,3.6182,89.3943,4.9415,108.2132,1.8644,125.8463,6.9565,-3688.6126,12.1470,0.8481,0.6948,0.0000,0.0000,0.0000,0.0000
0.700000,100.0000,0.0000,103.9865,2.1762,79.2032,6.8908,107.1644,3.1729,111.4996,9.7006,-3695.5186,20.7033,1.0155,0.6493,0.0000,0.0000,0.0000,0.0000
0.800000,100.0000,0.0000,100.3566,2.2392,85.1345,4.0266,109.0716,2.5798,119.8496,5.6686,-3683.0966,16.6666,1.3978,0.6720,0.0000,0.0000,0.0000,0.0000
0.900000,100.0000,0.0000,100.0450,2.4768,85.0723,7.7601,108.9972,1.8386,119.7620,10.9244,-3683.5341,11.8717,0.7909,0.5406,0.0000,0.0000,0.0000,0.0000
1.000000,100.0000,0.0000,102.3094,3.8510,78.1683,5.6342,107.7762,2.5965,110.0428,7.9316,-3691.4937,16.9227,1.3858,0.7766,0.0000,0.0000,0.0000,0.0000
1.100000,100.0000,0.0000,99.9675,2.2044,86.6950,3.8989,107.9773,1.8602,122.0464,5.4888,-3690.1430,12.0770,1.0939,0.7571,0.0000,0.0000,0.0000,0.0000
1.200000,100.0000,0.0000,101.8237,2.9272,81.2198,9.8078,106.9528,1.9885,114.3385,13.8071,-3696.8144,12.9747,0.8964,0.5254,0.0000,0.0000,0.0000,0.0000
1.300000,100.0000,0.0000,101.6415,3.1484,80.6052,3.3685,107.5256,2.2044,113.4734,4.7421,-3693.0966,14.3400,1.3401,0.5340,0.0000,0.0000,0.0000,0.0000
1.400000,100.0000,0.0000,100.7348,2.9638,86.6349,4.7908,106.3324,2.8369,121.9618,6.7444,-3700.9205,18.5595,0.9673,0.7675,0.0000,0.0000,0.0000,0.0000
1.500000,100.0000,0.0000,101.8727,2.1242,79.1982,8.0414,106.7182,3.2194,111.4925,11.3203,-3698.4319,21.0176,1.1309,0.7767,0.0000,0.0000,0.0000,0.0000
1.600000,100.0000,0.0000,101.5754,3.8648,84.2546,4.2658,106.5544,2.2472,118.6108,6.0053,-3699.4293,14.7276,1.4223,0.7366,0.0000,0.0000,0.0000,0.0000
1.700000,100.0000,0.0000,99.1659,3.2693,85.8167,7.2028,108.0517,2.4530,120.8100,10.1399,-3689.6934,15.8952,1.0891,0.6930,0.0000,0.0000,0.0000,0.0000
1.800000,100.0000,0.0000,101.7469,2.7156,78.6365,5.2512,106.6071,1.7576,110.7019,7.3924,-3699.0579,11.4678,1.6122,0.8160,0.0000,0.0000,0.0000,0.0000
