# F(k,t) correlation function
# Reference time: 2209.000 ps
# lag_time_ps	F(k,t)
0.000000	950.05344648
1.000000	794.17382118
2.000000	779.91002630
3.000000	662.40985569
4.000000	647.31688839
5.000000	462.03929514
6.000000	463.13656929
7.000000	306.29065572
8.000000	253.04742336
9.000000	139.07875570
10.000000	68.66094030
11.000000	6.49046065
12.000000	-75.71366308
13.000000	-76.02557407
14.000000	-138.00116532
15.000000	-108.46075063
16.000000	-133.47362802
17.000000	-137.55011964
18.000000	-111.46348354
19.000000	-27.70398437
20.000000	-21.26815995
21.000000	-101.77145199
22.000000	85.45930855
23.000000	86.64263980
24.000000	102.13164584
25.000000	-41.42395559
26.000000	51.31624309
27.000000	51.43840133
28.000000	79.82581019
29.000000	14.10365487
30.000000	-62.10059132
31.000000	-30.13088518
32.000000	-95.08676003
33.000000	-76.30883445
34.000000	-106.46328775
35.000000	84.11375414
36.000000	8.29495252
37.000000	-181.37001695
38.000000	-160.16670581
39.000000	-57.41846085
40.000000	-98.22511819
41.000000	-131.93670263
42.000000	-215.27024374
43.000000	-108.53513238
44.000000	-8.69855956
45.000000	-56.21324328
46.000000	-55.49034511
47.000000	-54.14222558
48.000000	-126.68712944
49.000000	-114.24159707
50.000000	-145.49129224
51.000000	11.90241523
52.000000	-43.80815730
53.000000	-53.68841820
54.000000	-37.57551554
55.000000	70.89431951
56.000000	42.90398804
57.000000	104.58705683
58.000000	89.98616142
59.000000	110.58601695
60.000000	86.34975182
61.000000	77.46780048
62.000000	74.90367411
63.000000	-40.30198528
64.000000	-5.15712630
65.000000	-23.97941668
66.000000	18.27083820
67.000000	6.98775728
68.000000	-96.79045568
69.000000	-59.75828971
70.000000	-124.73676872
71.000000	-143.95873303
72.000000	-121.61735691
73.000000	-130.34570907
74.000000	-133.01167614
75.000000	-128.31448140
76.000000	-98.91359736
77.000000	-90.43803893
78.000000	39.20296105
79.000000	-75.58370211
80.000000	34.26312436
81.000000	-69.23910228
82.000000	-42.82916816
83.000000	-34.14797416
84.000000	69.90611761
85.000000	-3.87491181
86.000000	-125.13873381
87.000000	-41.88584480
88.000000	-180.66744216
89.000000	-111.18376855
90.000000	-37.39729271
91.000000	11.90454593
