time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
5.200500,300.0000,315.8406,381.3912,295.8758,334.228413,-2108.694108,3.405431,-0.000000,0.000000
5.301000,300.0000,325.6412,377.7305,282.1085,331.123787,-2178.145689,5.092746,0.000000,0.000000
5.400000,300.0000,299.8880,408.5429,302.4432,357.195605,-2076.521251,5.596009,-0.000000,0.000000
5.500500,300.0000,304.2050,371.4215,306.5867,325.768494,-2056.527190,4.021778,-0.000000,0.000000
5.601000,300.0000,294.1493,380.8189,316.9903,333.743154,-2007.324055,6.389152,-0.000000,0.000000
5.700000,300.0000,297.5593,363.0691,305.4218,318.669874,-2062.124926,3.962174,0.000000,0.000000
5.800500,300.0000,295.2304,380.8363,300.6976,333.757947,-2085.014431,5.528444,0.000000,0.000000
5.901000,300.0000,287.4961,381.2471,309.3537,334.106229,-2043.303069,5.362739,-0.000000,0.000000
6.000000,300.0000,298.2392,367.4538,304.0776,322.397697,-2068.607133,2.888403,0.000000,0.000000
6.100500,300.0000,303.5520,369.9417,295.8178,324.511590,-2108.980912,7.453908,0.000000,0.000000
6.201000,300.0000,299.8807,367.5813,300.5740,322.506061,-2085.617353,3.171605,-0.000000,0.000000
6.300000,300.0000,305.0369,385.5561,295.3690,337.758350,-2111.201867,4.746198,-0.000000,0.000000
6.400500,300.0000,304.1387,384.8778,295.3120,337.183599,-2111.484227,5.724965,0.000000,0.000000
6.501000,300.0000,294.4370,363.7637,317.7911,319.260589,-2003.594176,3.751050,0.000000,0.000000
6.600000,300.0000,306.5386,381.4784,307.3715,334.302377,-2052.766249,7.814205,-0.000000,0.000000
6.700500,300.0000,305.6661,371.2739,304.7847,325.643201,-2065.194434,2.861894,-0.000000,0.000000
6.801000,300.0000,297.5526,411.8651,296.8998,359.998495,-2103.638202,10.658757,0.000000,0.000000
6.900000,300.0000,299.0101,368.0894,306.9555,322.937843,-2054.758797,3.872546,-0.000000,0.000000
7.000500,300.0000,289.9896,377.8744,314.7918,331.245890,-2017.605126,12.775301,-0.000000,0.000000
7.101000,300.0000,313.1993,365.6750,299.0261,320.885708,-2093.186441,3.504552,-0.000000,0.000000
7.200000,300.0000,301.4228,385.1192,317.3165,337.388138,-2005.803729,5.761228,-0.000000,0.000000
7.300500,300.0000,305.1401,411.5107,301.0118,359.699544,-2083.482697,9.396663,0.000000,0.000000
7.401000,300.0000,316.3581,348.5991,297.1948,306.348025,-2102.184221,5.709574,0.000000,0.000000
7.500000,300.0000,306.2100,399.3967,304.6036,349.470805,-2066.067529,16.013826,-0.000000,0.000000
7.600500,300.0000,308.8441,358.6919,307.8115,314.945736,-2050.661322,2.615385,0.000000,0.000000
7.701000,300.0000,310.3359,411.0735,296.8182,359.330726,-2104.040396,19.300966,0.000000,0.000000
7.800000,300.0000,295.3444,408.6753,314.5591,357.307325,-2018.697229,7.424958,-0.000000,0.000000
7.900500,300.0000,315.6263,361.6475,299.9006,317.460695,-2088.906289,12.087786,-0.000000,0.000000
8.001000,300.0000,299.6237,398.5560,305.8893,348.760146,-2059.876203,8.327715,-0.000000,0.000000
8.100000,300.0000,321.2109,349.8061,290.8931,307.376984,-2133.509543,2.237901,-0.000000,0.000000
8.200500,300.0000,308.2730,426.1087,302.2009,371.997745,-2077.697933,12.254223,0.000000,0.000000
8.301000,300.0000,317.0342,367.6420,302.1277,322.557629,-2078.053438,1.369759,-0.000000,0.000000
8.400000,300.0000,304.2201,356.3064,320.0713,312.914958,-1993.018023,13.367079,0.000000,0.000000
8.500500,300.0000,299.9628,396.5894,308.9714,347.097379,-2045.124352,3.219267,-0.000000,0.000000
8.601000,300.0000,297.6084,380.5589,316.0695,333.522769,-2011.622675,14.215555,-0.000000,0.000000
8.700000,300.0000,295.5671,430.2142,314.9358,375.450969,-2016.929857,9.862690,0.000000,0.000000
8.800500,300.0000,296.7923,351.9094,323.5818,309.169612,-1976.861754,7.985097,0.000000,0.000000
8.901000,300.0000,300.4058,394.8169,304.4748,345.598257,-2066.689356,9.009821,-0.000000,0.000000
9.000000,300.0000,295.6169,370.1423,310.6051,324.681997,-2037.355604,2.529388,0.000000,0.000000
9.100500,300.0000,283.7591,386.5075,320.7037,338.564342,-1990.096157,14.206614,0.000000,0.000000
9.201000,300.0000,288.1142,381.8140,307.4371,334.586906,-2052.452341,0.915447,-0.000000,0.000000
9.300000,300.0000,287.9027,351.5347,317.7060,308.850307,-2003.990316,12.697594,-0.000000,0.000000
9.400500,300.0000,287.0966,367.6795,311.4605,322.589464,-2033.301880,4.888275,0.000000,0.000000
9.501000,300.0000,297.1247,374.5917,294.2932,328.460191,-2116.537407,10.163953,0.000000,0.000000
9.600000,300.0000,290.6439,390.4435,297.5159,341.897393,-2100.602857,17.308706,-0.000000,0.000000
9.700500,300.0000,307.3029,373.6775,289.3779,327.684187,-2141.126729,3.184759,-0.000000,0.000000
9.801000,300.0000,300.7341,360.0313,306.5651,316.085597,-2056.630699,14.032162,0.000000,0.000000
9.900000,300.0000,315.8598,385.9185,283.1287,338.065379,-2172.902466,1.002255,0.000000,0.000000
10.000500,300.0000,304.1326,367.7770,293.5088,322.672311,-2120.438120,13.641690,-0.000000,0.000000
10.101000,300.0000,294.5567,405.9655,299.9874,355.019960,-2088.482035,1.143610,0.000000,0.000000
10.200000,300.0000,294.0716,363.7719,301.5970,319.267563,-2080.633312,3.976606,0.000000,0.000000
10.300500,300.0000,288.6228,369.5424,308.3220,324.172400,-2048.222176,10.830403,0.000000,0.000000
10.401000,300.0000,300.8111,385.7977,306.4517,337.963009,-2057.175082,3.525558,-0.000000,0.000000
10.500000,300.0000,309.3122,379.5662,305.7898,332.680908,-2060.354729,10.836844,0.000000,0.000000
10.600500,300.0000,308.9347,412.7139,297.1601,360.714340,-2102.354871,1.024026,-0.000000,0.000000
10.701000,300.0000,323.3526,339.1686,292.5685,298.301046,-2125.125647,7.725578,-0.000000,0.000000
10.800000,300.0000,301.4887,379.3475,312.6061,332.495383,-2027.887828,5.335699,0.000000,0.000000
10.900500,300.0000,319.0348,372.0491,292.7350,326.301474,-2124.294387,6.462530,0.000000,0.000000
11.001000,300.0000,308.4817,409.3035,298.3384,357.837457,-2096.559995,6.499581,-0.000000,0.000000
11.100000,300.0000,298.1356,398.4624,304.7888,348.681083,-2065.174276,2.121603,-0.000000,0.000000
11.200500,300.0000,304.0731,347.3751,303.6936,305.304350,-2070.463129,8.665936,0.000000,0.000000
11.301000,300.0000,309.0002,396.3566,300.5099,346.900577,-2085.930424,1.758752,0.000000,0.000000
11.400000,300.0000,331.1150,378.9133,284.9010,332.127127,-2163.831024,7.329051,-0.000000,0.000000
11.500500,300.0000,311.6577,428.9749,307.9698,374.408814,-2049.904464,3.423337,0.000000,0.000000
11.601000,300.0000,325.5776,349.3592,293.5871,306.996071,-2120.048311,6.596668,-0.000000,0.000000
11.700000,300.0000,316.3028,372.8403,297.3518,326.973314,-2101.410986,3.427335,-0.000000,0.000000
11.800500,300.0000,309.7919,383.7993,310.7834,336.269691,-2036.509770,1.940268,0.000000,0.000000
11.901000,300.0000,322.7481,408.5541,299.5725,357.204983,-2090.510832,1.888558,-0.000000,0.000000
12.000000,300.0000,307.7975,441.1430,296.7494,384.631593,-2104.379706,0.422032,-0.000000,0.000000
12.100500,300.0000,314.6169,329.2995,299.4502,289.865913,-2091.109349,7.389727,0.000000,0.000000
12.201000,300.0000,306.0145,416.2574,292.8803,363.701742,-2123.569894,0.225442,0.000000,0.000000
12.300000,300.0000,309.8396,365.1661,295.1601,320.453085,-2112.236742,8.726204,-0.000000,0.000000
12.400500,300.0000,312.0497,404.8927,290.8637,354.114146,-2133.656971,3.201126,0.000000,0.000000
12.501000,300.0000,308.2386,371.9347,289.9698,326.204331,-2138.147059,6.472037,0.000000,0.000000
12.600000,300.0000,320.3297,324.6663,286.7824,285.901010,-2154.253505,8.109241,-0.000000,0.000000
12.700500,300.0000,298.0159,420.0123,306.0963,366.865452,-2058.881490,1.196297,-0.000000,0.000000
12.801000,300.0000,298.1813,353.2799,308.4693,310.337275,-2047.518992,8.128665,0.000000,0.000000
12.900000,300.0000,300.5810,403.4771,302.3756,352.918582,-2076.849492,1.570876,0.000000,0.000000
13.000500,300.0000,301.9559,375.4868,307.5398,329.219938,-2051.960671,4.337918,0.000000,0.000000
13.101000,300.0000,293.5799,355.6104,314.2334,312.322255,-2020.226125,1.907122,0.000000,0.000000
13.200000,300.0000,305.6634,402.5479,289.3310,352.133656,-2141.362848,2.098221,0.000000,0.000000
13.300500,300.0000,304.6487,361.4929,294.4700,317.329221,-2115.659134,5.134040,-0.000000,0.000000
13.401000,300.0000,287.4678,416.4245,308.0687,363.842655,-2049.432072,1.417505,0.000000,0.000000
13.500000,300.0000,298.1894,351.4045,299.6276,308.739291,-2090.241322,7.073455,-0.000000,0.000000
13.600500,300.0000,290.1344,367.1105,307.6854,322.105949,-2051.264386,1.242366,0.000000,0.000000
13.701000,300.0000,301.2904,382.3122,295.2281,335.009196,-2111.899766,4.157938,-0.000000,0.000000
13.800000,300.0000,299.4298,368.8373,297.3935,323.573328,-2101.205854,5.719078,0.000000,0.000000
13.900500,300.0000,294.7094,397.1477,291.9149,347.569517,-2128.391305,3.357524,0.000000,0.000000
14.001000,300.0000,312.9028,314.4756,282.9136,277.169093,-2174.006456,6.339913,0.000000,0.000000
14.100000,300.0000,288.4735,378.4990,304.0185,331.775701,-2068.892637,0.670695,0.000000,0.000000
14.200500,300.0000,304.4130,365.1916,290.9041,320.474721,-2133.454218,9.230189,-0.000000,0.000000
14.301000,300.0000,297.2212,403.7919,298.2811,353.184410,-2096.841181,1.379894,-0.000000,0.000000
14.400000,300.0000,288.9156,387.8456,303.0744,339.697755,-2073.460771,4.751399,-0.000000,0.000000
14.500500,300.0000,304.3800,335.6106,289.9101,295.261683,-2138.447244,6.032261,0.000000,0.000000
14.601000,300.0000,292.3189,396.0515,299.1991,346.642553,-2092.338607,3.080218,0.000000,0.000000
14.700000,300.0000,301.0632,357.8334,292.0946,314.214986,-2127.493017,10.246922,0.000000,0.000000
14.800500,300.0000,289.5375,395.4381,293.6853,346.123719,-2119.559643,0.580326,-0.000000,0.000000
14.901000,300.0000,296.4290,333.8901,288.7193,293.791310,-2144.448002,10.540417,-0.000000,0.000000
15.000000,300.0000,299.7559,335.5906,283.0521,295.244622,-2173.295455,2.667972,-0.000000,0.000000
15.100500,300.0000,290.6995,375.4881,284.9427,329.221021,-2163.618398,7.321270,-0.000000,0.000000
15.201000,300.0000,291.6186,367.5256,291.2090,322.458743,-2131.925209,1.119561,0.000000,0.000000
15.300000,300.0000,274.8774,396.0655,308.5929,346.654341,-2046.928877,3.545996,0.000000,0.000000
15.400500,300.0000,292.6350,327.9506,292.7329,288.711905,-2124.304996,3.954576,-0.000000,0.000000
15.501000,300.0000,292.7506,373.0642,289.1745,327.163459,-2142.152011,3.052784,0.000000,0.000000
15.600000,300.0000,283.4735,375.3181,296.7203,329.076756,-2104.523010,5.572736,0.000000,0.000000
15.700500,300.0000,283.4998,375.7013,297.6078,329.401946,-2100.151067,1.203145,-0.000000,0.000000
15.801000,300.0000,286.9483,366.6269,299.5525,321.694905,-2090.608505,6.352696,-0.000000,0.000000
15.900000,300.0000,306.5140,336.6515,284.4083,296.151064,-2166.348249,2.658574,0.000000,0.000000
16.000500,300.0000,290.1133,379.1297,296.5219,332.310641,-2105.502342,6.510349,0.000000,0.000000
16.101000,300.0000,292.3807,382.0969,303.6236,334.826692,-2070.801718,4.524392,-0.000000,0.000000
16.200000,300.0000,294.2259,382.8160,304.2891,335.436274,-2067.585486,1.586481,-0.000000,0.000000
16.300500,300.0000,292.9153,374.2485,301.5089,328.168910,-2081.061982,10.321028,0.000000,0.000000
16.401000,300.0000,303.2187,355.0100,294.9765,311.810942,-2113.146675,1.141461,0.000000,0.000000
16.500000,300.0000,293.6461,374.3286,299.3563,328.236884,-2091.569154,8.295028,-0.000000,0.000000
16.600500,300.0000,299.1635,374.9588,289.3246,328.771818,-2141.395376,3.621959,-0.000000,0.000000
16.701000,300.0000,306.9998,373.5364,282.1770,327.564315,-2177.792897,5.388304,-0.000000,0.000000
16.800000,300.0000,294.0208,363.2206,300.3419,318.798745,-2086.750274,4.021884,-0.000000,0.000000
16.900500,300.0000,302.7218,364.0678,291.8239,319.519251,-2128.846788,1.405585,0.000000,0.000000
17.001000,300.0000,291.5462,398.6504,294.4584,348.839965,-2115.717065,5.252276,-0.000000,0.000000
17.100000,300.0000,297.4920,378.2433,293.5920,331.558819,-2120.023795,0.374853,-0.000000,0.000000
17.200500,300.0000,298.9478,384.9128,297.3549,337.213318,-2101.395656,7.869254,-0.000000,0.000000
17.301000,300.0000,310.8812,345.4010,294.1815,303.620520,-2117.092094,1.418153,0.000000,0.000000
17.400000,300.0000,298.0847,374.1179,307.2965,328.057978,-2053.125427,4.089284,0.000000,0.000000
17.500500,300.0000,300.5521,382.7700,297.0811,335.397292,-2102.744234,4.625911,-0.000000,0.000000
17.601000,300.0000,298.6098,389.5702,300.8528,341.158131,-2084.257689,2.441776,-0.000000,0.000000
17.700000,300.0000,299.6090,390.7676,298.3003,342.171765,-2096.746694,9.495799,0.000000,0.000000
17.800500,300.0000,299.9645,350.5351,306.4999,307.998355,-2056.943810,0.312091,-0.000000,0.000000
17.901000,300.0000,291.8942,406.9287,303.7169,355.833076,-2070.350517,8.258003,-0.000000,0.000000
18.000000,300.0000,300.4401,368.1311,304.2082,322.973263,-2067.976373,2.788957,0.000000,0.000000
18.100500,300.0000,299.1035,404.8645,297.9383,354.090312,-2098.525593,3.858075,0.000000,0.000000
18.201000,300.0000,303.7709,348.9345,304.2535,306.633984,-2067.757468,3.286046,-0.000000,0.000000
18.300000,300.0000,300.2781,348.7935,310.9304,306.513727,-2035.813063,1.296500,-0.000000,0.000000
18.400500,300.0000,300.7191,412.6099,298.6442,360.626650,-2095.059077,9.051220,0.000000,0.000000
18.501000,300.0000,301.7069,378.7675,310.2369,332.003425,-2039.103378,1.548459,0.000000,0.000000
18.600000,300.0000,299.2519,398.6854,308.5797,348.869597,-2046.992128,9.007522,-0.000000,0.000000
18.700500,300.0000,306.3775,334.6490,308.1968,294.439899,-2048.819784,5.192566,0.000000,0.000000
18.801000,300.0000,301.1130,398.8607,296.6924,349.017757,-2104.660872,6.385715,0.000000,0.000000
18.900000,300.0000,297.2854,389.7551,305.8423,341.314664,-2060.102299,6.894502,-0.000000,0.000000
19.000500,300.0000,305.2983,383.4164,294.7616,335.945163,-2114.212024,3.730117,-0.000000,0.000000
19.101000,300.0000,314.2021,374.6276,285.6416,328.490715,-2160.054869,6.660559,0.000000,0.000000
19.200000,300.0000,299.0486,326.0409,314.6819,287.077690,-2018.120550,2.844345,-0.000000,0.000000
19.300500,300.0000,295.7388,420.8850,301.0279,367.600516,-2083.404271,5.193749,-0.000000,0.000000
19.401000,300.0000,306.7484,358.8018,301.8562,315.039240,-2079.372665,3.447480,-0.000000,0.000000
19.500000,300.0000,302.9959,391.5842,293.7953,342.863006,-2119.012452,4.582981,0.000000,0.000000
19.600500,300.0000,307.7648,355.2431,288.0292,312.009490,-2147.935348,3.010780,-0.000000,0.000000
19.701000,300.0000,299.8720,359.1666,297.8011,315.349744,-2099.200186,5.242939,-0.000000,0.000000
19.800000,300.0000,283.9391,425.2218,300.8807,371.251423,-2084.121517,2.698243,0.000000,0.000000
19.900500,300.0000,296.3801,341.5010,295.2216,300.292509,-2111.931670,5.425994,0.000000,0.000000
20.001000,300.0000,300.6630,412.7797,292.3709,360.769806,-2126.112109,2.528395,-71.541771,756.872742
20.100000,300.0000,293.6392,355.6065,307.8661,312.318965,-2050.400282,445.049408,-849.936890,408.862915
20.200500,300.0000,294.0686,366.3370,296.4976,321.448443,-2105.621888,54.052322,-122.866684,71.401810
20.301000,300.0000,293.2987,396.8588,295.6914,347.325252,-2109.605808,408.991974,-870.893677,467.680115
20.400000,300.0000,306.1100,332.3013,302.5372,292.433045,-2076.065299,764.916687,-1486.508667,726.562439
20.500500,300.0000,285.5911,426.1816,314.5358,372.059068,-2018.806556,34.844315,-56.495735,26.537340
