time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std
6.100000,300.0000,0.0000,320.1854,36.0972,347.7757,26.0101,309.1612,14.2222
6.200000,300.0000,0.0000,314.4348,28.3353,380.1131,16.0150,306.7672,9.2280
6.300000,300.0000,0.0000,295.2932,6.9245,386.4965,33.8714,317.7976,25.4540
6.400000,300.0000,0.0000,322.1979,38.5355,362.0915,17.9426,314.5392,15.9818
6.500000,300.0000,0.0000,299.4624,5.9801,347.1701,13.2995,322.2235,8.2547
6.600000,300.0000,0.0000,325.2037,34.6667,357.9347,20.0908,313.1253,4.7105
6.700000,300.0000,0.0000,307.7947,4.7419,380.5637,9.2491,309.9860,8.7141
6.800000,300.0000,0.0000,314.7458,18.7906,392.8376,28.3919,320.0487,20.3723
6.900000,300.0000,0.0000,312.9685,15.1495,356.8642,7.9479,320.2042,15.2070
7.000000,300.0000,0.0000,305.7118,11.2764,356.0506,16.6561,322.1334,8.3280
7.100000,300.0000,0.0000,321.5300,19.9109,373.7505,7.7793,311.0706,8.7701
7.200000,300.0000,0.0000,308.2142,8.9469,385.7612,11.8554,312.5073,12.3613
7.300000,300.0000,0.0000,318.8658,15.7700,388.8906,26.0282,313.6751,13.7050
7.400000,300.0000,0.0000,313.0167,4.2689,340.1719,6.7338,311.6865,15.8867
7.500000,300.0000,0.0000,315.0598,13.6121,360.8442,29.8003,315.3353,7.5966
7.600000,300.0000,0.0000,310.7435,8.8078,367.7020,9.3743,314.9176,8.1863
7.700000,300.0000,0.0000,308.4142,10.0109,392.9873,26.3413,311.9596,11.0901
7.800000,300.0000,0.0000,310.2033,19.9755,385.5019,20.9389,314.1766,5.9023
7.900000,300.0000,0.0000,309.5897,6.2606,342.9262,13.6910,312.9177,9.1806
8.000000,300.0000,0.0000,314.3775,13.3773,377.6709,20.6934,311.6327,9.4367
8.100000,300.0000,0.0000,314.7050,4.6039,368.7438,13.8758,306.2621,10.8795
8.200000,300.0000,0.0000,310.8451,2.9236,400.7870,28.0875,313.2987,10.6518
8.300000,300.0000,0.0000,307.9673,9.2815,347.0497,19.7097,318.2679,15.6812
8.400000,300.0000,0.0000,306.1651,2.2484,349.7147,11.4465,324.5259,3.1638
8.500000,300.0000,0.0000,306.7059,10.5301,375.8421,14.8824,315.3142,5.8992
8.600000,300.0000,0.0000,296.8995,4.6256,386.6068,10.9816,317.9780,1.4454
8.700000,300.0000,0.0000,299.1694,2.7527,396.6708,36.2337,320.4569,17.6302
8.800000,300.0000,0.0000,297.1198,5.6146,340.2096,14.3347,319.6314,4.7043
8.900000,300.0000,0.0000,305.1803,3.7622,365.7136,31.8129,310.2370,12.2420
9.000000,300.0000,0.0000,297.4699,6.9080,358.9098,8.0841,314.2448,3.5325
9.100000,300.0000,0.0000,294.6259,7.6601,387.7774,27.2659,316.9069,8.1430
9.200000,300.0000,0.0000,300.8562,9.4462,352.7810,20.6622,310.6253,2.2403
9.300000,300.0000,0.0000,296.7900,8.5339,341.2504,11.3659,320.0443,4.0695
9.400000,300.0000,0.0000,296.3418,6.6324,358.3694,14.9588,316.5430,6.8563
9.500000,300.0000,0.0000,291.9864,3.6970,375.9602,6.1959,311.4439,14.4546
9.600000,300.0000,0.0000,283.6554,5.3360,387.8290,22.2221,316.2507,14.9271
9.700000,300.0000,0.0000,299.2622,5.6325,344.8280,23.4897,302.1038,9.2936
9.800000,300.0000,0.0000,295.4504,4.1332,342.5664,15.6976,309.6697,3.5580
9.900000,300.0000,0.0000,301.3444,12.8088,361.1387,21.1955,301.1240,13.0426
10.000000,300.0000,0.0000,296.0233,5.8581,370.9144,2.2058,307.6361,10.6504
10.100000,300.0000,0.0000,289.8471,7.8016,376.4661,32.2081,314.7873,13.4869
10.200000,300.0000,0.0000,297.9179,4.2391,344.3291,16.3133,308.4078,11.4167
10.300000,300.0000,0.0000,297.7820,8.4017,350.2917,17.8383,315.0078,8.8790
10.400000,300.0000,0.0000,297.4253,5.9849,383.7813,3.3375,307.9388,4.1702
10.500000,300.0000,0.0000,304.7204,8.3192,376.1531,2.4341,306.0586,7.6723
10.600000,300.0000,0.0000,302.8276,5.7521,380.8451,26.0453,307.6289,9.8656
10.700000,300.0000,0.0000,310.4667,10.2730,329.9107,17.4815,312.8244,14.4543
10.800000,300.0000,0.0000,304.8712,4.2328,358.9662,17.5636,318.9186,5.9716
10.900000,300.0000,0.0000,308.5798,15.7121,382.7762,8.4546,313.1032,15.7859
11.000000,300.0000,0.0000,308.2786,6.9278,384.0470,22.7873,310.7167,9.0380
11.100000,300.0000,0.0000,300.5811,17.6463,386.8454,9.0080,318.6615,12.5772
11.200000,300.0000,0.0000,305.9350,5.4495,330.8630,17.4675,319.4016,13.2450
11.300000,300.0000,0.0000,310.6232,7.3338,401.7007,10.4926,306.2225,11.0440
11.400000,300.0000,0.0000,304.1825,19.2641,379.7192,5.3273,315.0757,23.2612
11.500000,300.0000,0.0000,301.4655,10.9024,391.9160,27.6137,316.4062,7.8697
11.600000,300.0000,0.0000,307.3868,14.4170,337.8644,17.2230,312.5059,14.4175
11.700000,300.0000,0.0000,310.2176,9.2002,340.2354,24.2637,309.3512,8.5365
11.800000,300.0000,0.0000,303.0395,7.7158,389.7104,16.4425,317.2614,9.1729
11.900000,300.0000,0.0000,312.2006,11.4310,378.2859,21.5561,313.4848,10.0256
12.000000,300.0000,0.0000,299.1699,6.5595,397.3440,34.6841,311.5204,15.8584
12.100000,300.0000,0.0000,311.5040,3.7129,332.7640,9.3853,308.0492,8.9379
12.200000,300.0000,0.0000,302.4790,3.8232,387.7282,23.1404,316.3654,16.7059
12.300000,300.0000,0.0000,303.9343,5.0021,386.3513,21.7878,316.9281,15.5158
12.400000,300.0000,0.0000,314.5253,2.5223,383.7573,17.1632,305.2507,10.2968
12.500000,300.0000,0.0000,309.1020,1.0900,361.9934,11.5037,313.3768,16.5576
