# turn-on energies from lambda=0 equilibrium snapshots
# lambda_eval=0.09  T=100.0 K  burn_in_ps=1000.0
time_ps  E_coup_turnon_kjmol  E_coup_relaxed_kjmol  E_dse_kjmol
1001.000000  24.74661064  -3213.55004883  1606.77453613
1011.000000  37.52881622  -11001.83496094  5500.91552734
1021.000000  -71.77019501  -6117.56835938  3058.78320312
1031.000000  97.88359833  -3462.26293945  1731.13098145
1041.000000  -22.70220947  -48504.59375000  24252.28906250
1051.000000  53.64612579  -4718.38037109  2359.18945312
1061.000000  -370.60528564  -25120.12890625  12560.05957031
1071.000000  -161.89199829  -23676.36523438  11838.17773438
1081.000000  25.96808243  -25263.53125000  12631.75976562
1091.000000  139.61584473  -31458.82617188  15729.40722656
1101.000000  7.49693680  -19304.58007812  9652.28808594
1111.000000  144.84600830  -13805.19628906  6902.59570312
1121.000000  97.62158203  -41927.08984375  20963.53710938
1131.000000  -14.98978806  -27010.20898438  13505.09960938
1141.000000  135.74107361  -18862.61328125  9431.30371094
1151.000000  90.10594177  -24065.68750000  12032.83984375
1161.000000  162.40919495  -7942.44384766  3971.22094727
1171.000000  -7.67301798  -9166.23925781  4583.11816406
1181.000000  29.57049751  -25114.95117188  12557.47167969
1191.000000  -216.67774963  -34522.77343750  17261.38281250
1201.000000  -187.38868713  -47645.87500000  23822.92773438
1211.000000  -28.09434700  -36754.00781250  18376.99804688
1221.000000  124.57182312  -33172.87500000  16586.43164062
1231.000000  -44.94733429  -40938.11328125  20469.04882812
1241.000000  -220.83926392  -32815.48437500  16407.73828125
1251.000000  153.72244263  -27338.89453125  13669.44531250
1261.000000  -186.73237610  -15127.46386719  7563.72949219
1271.000000  180.10295105  -12890.35742188  6445.17724609
1281.000000  -39.58938217  -8657.29492188  4328.64648438
1291.000000  -19.12631226  -8836.05664062  4418.02685547
1301.000000  3.42314053  -8627.66894531  4313.83300781
1311.000000  22.09408760  -11399.15527344  5699.57617188
1321.000000  35.11594391  -4459.27587891  2229.63696289
1331.000000  -186.01063538  -14436.45214844  7218.22363281
1341.000000  -46.61750031  -11346.96679688  5673.48144531
1351.000000  -102.88148499  -6009.88574219  3004.94189453
1361.000000  7.88873720  -4448.01464844  2224.00659180
1371.000000  44.51628494  -2437.06005859  1218.52966309
1381.000000  -43.77259827  -2073.30249023  1036.65087891
1391.000000  12.85176468  -2657.05273438  1328.52587891
1401.000000  44.26263809  -1085.73925781  542.86944580
1411.000000  -10.84698868  -1174.82604980  587.41290283
1421.000000  34.02183151  -2132.30566406  1066.15246582
1431.000000  -38.41234207  -7034.92236328  3517.46020508
