# turn-on energies from lambda=0 equilibrium snapshots
# lambda_eval=0.03  T=100.0 K  burn_in_ps=1000.0
time_ps  E_coup_turnon_kjmol  E_coup_relaxed_kjmol  E_dse_kjmol
1401.000000  14.75421143  -120.63768768  60.31881714
1411.000000  -3.61566257  -130.53622437  65.26808167
1421.000000  11.34060955  -236.92282104  118.46135712
1431.000000  -12.80411243  -781.65802002  390.82882690
1441.000000  16.30098724  -2301.01806641  1150.50854492
1451.000000  1.49657869  -631.07012939  315.53491211
1461.000000  -30.79151344  -461.29415894  230.64697266
1471.000000  29.81421089  -463.89807129  231.94892883
1481.000000  12.56717777  -933.73565674  466.86758423
1491.000000  48.14395905  -1409.19775391  704.59857178
1501.000000  -18.35881233  -327.55731201  163.77857971
1511.000000  -12.16631126  -753.37677002  376.68826294
1521.000000  -1.69776940  -42.44154739  21.22076416
1531.000000  5.23923254  -467.49060059  233.74520874
1541.000000  6.09808779  -162.74580383  81.37286377
1551.000000  -6.32630253  -120.35320282  60.17658234
1561.000000  6.78905201  -268.80068970  134.40029907
1571.000000  16.36504173  -149.86637878  74.93315125
1581.000000  -38.62123108  -411.63070679  205.81527710
1591.000000  30.05930519  -1242.74694824  621.37322998
1601.000000  -13.79332161  -324.17742920  162.08866882
1611.000000  20.74919891  -956.87756348  478.43859863
1621.000000  -0.54273057  -35.91075897  17.95537186
1631.000000  11.08478832  -175.94610596  87.97301483
1641.000000  -12.53688431  -547.28283691  273.64126587
1651.000000  -21.28205299  -172.81376648  86.40684509
1661.000000  -5.90604019  -254.69461060  127.34725189
1671.000000  2.42753887  -157.78269958  78.89131927
1681.000000  12.02987766  -1032.09167480  516.04559326
1691.000000  30.93026352  -1044.97216797  522.48590088
1701.000000  9.81379986  -538.59033203  269.29507446
1711.000000  -12.35889244  -505.04867554  252.52423096
1721.000000  2.75132251  -432.84292603  216.42137146
1731.000000  -13.40940857  -205.98812866  102.99402618
1741.000000  -8.65957737  -345.93725586  172.96856689
1751.000000  3.06762028  -544.25146484  272.12561035
1761.000000  6.50454617  -156.12507629  78.06250763
1771.000000  -35.74387360  -629.80151367  314.90060425
1781.000000  -13.21858120  -557.46954346  278.73468018
1791.000000  -25.73087692  -990.28039551  495.13998413
1801.000000  7.97608232  -920.50372314  460.25167847
1811.000000  -15.91379833  -517.03149414  258.51562500
1821.000000  14.11437702  -655.17193604  327.58584595
1831.000000  13.45806980  -766.24981689  383.12478638
