time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std,E_bond_kjmol,E_bond_kjmol_std,E_nonbonded_kjmol,E_nonbonded_kjmol_std,E_cav_harmonic_kjmol,E_cav_harmonic_kjmol_std,E_cav_coupling_kjmol,E_cav_coupling_kjmol_std,E_cav_dse_kjmol,E_cav_dse_kjmol_std
2.600000,100.0000,0.0000,101.2146,3.1460,76.7390,3.9745,106.0892,2.0786,108.0307,5.5951,-3702.4604,13.6313,1.3023,0.9045,0.0000,0.0000,0.0000,0.0000
2.700000,100.0000,0.0000,98.0817,2.3816,86.4156,7.0716,106.5458,2.3536,121.6530,9.9552,-3699.4923,15.3908,1.2229,1.0063,0.0000,0.0000,0.0000,0.0000
2.800000,100.0000,0.0000,99.5010,1.1145,77.1640,6.7679,107.1308,3.1275,108.6290,9.5276,-3695.7333,20.3834,1.5493,0.8012,0.0000,0.0000,0.0000,0.0000
2.900000,100.0000,0.0000,97.8691,3.6482,80.8023,3.8471,107.8970,2.6123,113.7509,5.4158,-3690.7099,17.0168,1.2512,0.8645,0.0000,0.0000,0.0000,0.0000
3.000000,100.0000,0.0000,98.5876,2.6790,84.4575,6.7673,106.4024,4.1300,118.8966,9.5268,-3700.5864,27.0245,1.3780,0.9979,0.0000,0.0000,0.0000,0.0000
3.100000,100.0000,0.0000,101.2198,2.1488,74.9708,6.4639,106.0950,2.1359,105.5414,9.0997,-3702.4252,13.9479,1.4234,0.8900,0.0000,0.0000,0.0000,0.0000
3.200000,100.0000,0.0000,98.2841,3.6190,83.9989,5.7637,106.1624,2.1802,118.2510,8.1139,-3701.9869,14.2809,1.2537,0.9197,0.0000,0.0000,0.0000,0.0000
3.300000,100.0000,0.0000,98.2649,2.3593,78.9612,4.4600,106.9988,2.1421,111.1589,6.2787,-3696.5232,13.9915,1.2728,0.7301,0.0000,0.0000,0.0000,0.0000
3.400000,100.0000,0.0000,101.3259,3.3695,75.5923,5.9860,105.7224,2.7390,106.4164,8.4269,-3704.9067,18.0311,1.0993,0.7320,0.0000,0.0000,0.0000,0.0000
3.500000,100.0000,0.0000,99.2814,2.2756,85.0405,6.0400,106.6484,1.9019,119.7173,8.5029,-3698.7961,12.4626,0.9476,0.6569,0.0000,0.0000,0.0000,0.0000
3.600000,100.0000,0.0000,99.8611,2.4535,75.9804,4.5102,107.7463,3.5104,106.9627,6.3493,-3691.7605,22.7189,1.2045,0.7249,0.0000,0.0000,0.0000,0.0000
3.700000,100.0000,0.0000,101.0694,2.4204,79.9428,3.3880,105.8193,3.4038,112.5409,4.7695,-3704.3284,22.3902,0.7894,0.5117,0.0000,0.0000,0.0000,0.0000
3.800000,100.0000,0.0000,97.5471,2.4209,83.2098,5.7024,107.8750,2.3861,117.1400,8.0277,-3690.8369,15.4994,0.9015,0.6335,0.0000,0.0000,0.0000,0.0000
3.900000,100.0000,0.0000,102.2259,2.6432,74.9586,5.5710,105.2818,3.5046,105.5242,7.8426,-3707.8617,22.9899,1.1157,0.9135,0.0000,0.0000,0.0000,0.0000
4.000000,100.0000,0.0000,99.0302,3.6433,83.5789,4.6586,106.4038,4.4543,117.6595,6.5582,-3700.6165,29.2040,0.8987,0.5371,0.0000,0.0000,0.0000,0.0000
4.100000,100.0000,0.0000,98.6569,3.4924,80.7594,4.4694,106.4053,3.7235,113.6904,6.2919,-3700.5216,24.2515,1.3814,1.1370,0.0000,0.0000,0.0000,0.0000
4.200000,100.0000,0.0000,99.3371,3.2052,76.5552,6.0454,106.6902,3.5870,107.7719,8.5105,-3698.6493,23.4529,1.0010,0.8706,0.0000,0.0000,0.0000,0.0000
4.300000,100.0000,0.0000,98.5342,2.2256,84.3725,7.0898,105.2439,1.7469,118.7768,9.9808,-3707.9832,11.4852,1.1747,1.1461,0.0000,0.0000,0.0000,0.0000
4.400000,100.0000,0.0000,98.6119,4.3638,77.0591,5.4123,106.3048,2.0201,108.4813,7.6193,-3701.0458,13.1582,1.3242,0.9706,0.0000,0.0000,0.0000,0.0000
4.500000,100.0000,0.0000,99.0865,2.1361,78.7341,5.5384,107.4006,2.7911,110.8393,7.7967,-3693.9490,18.1318,0.9275,0.4616,0.0000,0.0000,0.0000,0.0000
4.600000,100.0000,0.0000,98.7283,2.8036,82.8607,6.7212,106.6201,2.6095,116.6486,9.4619,-3699.0230,16.9380,1.2840,1.1510,0.0000,0.0000,0.0000,0.0000
4.700000,100.0000,0.0000,100.4315,3.4145,74.2302,6.2083,106.5631,3.6969,104.4988,8.7398,-3699.4868,23.9577,1.1486,0.7298,0.0000,0.0000,0.0000,0.0000
4.800000,100.0000,0.0000,97.0219,2.0273,80.4613,5.1703,108.4289,3.1075,113.2707,7.2785,-3687.2949,20.0353,0.9194,0.7588,0.0000,0.0000,0.0000,0.0000
4.900000,100.0000,0.0000,98.4436,2.3509,79.6252,4.4961,106.1961,2.6955,112.0937,6.3295,-3701.8001,17.5631,1.2728,1.0126,0.0000,0.0000,0.0000,0.0000
5.000000,100.0000,0.0000,100.0510,3.3310,74.1609,5.4739,106.6995,3.0296,104.4012,7.7059,-3698.5387,19.8162,0.9912,0.4302,0.0000,0.0000,0.0000,0.0000
5.100000,100.0000,0.0000,99.1601,2.0249,82.5003,7.2358,105.2435,2.6900,116.1413,10.1864,-3708.0432,17.6024,1.2388,0.7983,0.0000,0.0000,0.0000,0.0000
5.200000,100.0000,0.0000,99.7931,2.3223,77.5281,4.1674,106.3302,3.6871,109.1415,5.8668,-3701.0063,23.8323,1.2137,0.8208,0.0000,0.0000,0.0000,0.0000
5.300000,100.0000,0.0000,99.1185,2.4193,77.7390,4.4429,107.0162,3.3055,109.4384,6.2545,-3696.4953,21.5041,0.8524,0.5633,0.0000,0.0000,0.0000,0.0000
5.400000,100.0000,0.0000,99.4197,3.1111,83.8453,6.7012,105.0863,3.6696,118.0346,9.4337,-3709.1603,23.9532,1.2156,0.7388,0.0000,0.0000,0.0000,0.0000
5.500000,100.0000,0.0000,98.9684,3.0819,76.8971,4.4442,106.6855,3.1652,108.2532,6.2564,-3698.6379,20.4611,0.9830,0.6513,0.0000,0.0000,0.0000,0.0000
5.600000,100.0000,0.0000,98.3791,1.8790,81.2430,5.4508,105.7892,5.2897,114.3712,7.6735,-3704.7434,34.3913,0.8551,0.7198,0.0000,0.0000,0.0000,0.0000
5.700000,100.0000,0.0000,96.4141,4.4356,82.7684,4.8193,106.7887,4.0772,116.5186,6.7845,-3698.0554,26.5222,1.2278,0.9025,0.0000,0.0000,0.0000,0.0000
5.800000,100.0000,0.0000,99.8133,2.3128,76.6191,5.9423,105.2773,3.7470,107.8619,8.3653,-3707.9162,24.6068,0.9153,0.8590,0.0000,0.0000,0.0000,0.0000
5.900000,100.0000,0.0000,99.2179,2.6054,83.0963,6.7719,104.8093,4.1099,116.9803,9.5332,-3711.0312,26.9913,0.8857,0.6607,0.0000,0.0000,0.0000,0.0000
6.000000,100.0000,0.0000,98.8310,3.7031,79.1232,4.7905,105.9459,4.0639,111.3870,6.7439,-3703.5637,26.5221,0.8844,0.4739,0.0000,0.0000,0.0000,0.0000
6.100000,100.0000,0.0000,100.5734,1.9170,76.6580,5.4645,105.1932,2.6460,107.9167,7.6927,-3708.3713,17.4381,0.7813,0.7970,0.0000,0.0000,0.0000,0.0000
6.200000,100.0000,0.0000,98.3671,3.6619,82.7281,5.9113,106.1397,3.2648,116.4619,8.3217,-3702.2162,21.3802,0.7877,0.5354,0.0000,0.0000,0.0000,0.0000
6.300000,100.0000,0.0000,98.5925,1.3957,75.8689,4.7512,107.1376,3.1222,106.8058,6.6886,-3695.6889,20.3903,0.7451,0.6067,0.0000,0.0000,0.0000,0.0000
6.400000,100.0000,0.0000,98.0212,2.8374,77.9857,3.7171,107.0421,2.4611,109.7858,5.2329,-3696.2611,16.0401,0.7499,0.6757,0.0000,0.0000,0.0000,0.0000
6.500000,100.0000,0.0000,98.6444,2.3116,81.7275,5.3638,105.3295,2.4898,115.0533,7.5510,-3707.4652,16.4064,0.8072,0.7493,0.0000,0.0000,0.0000,0.0000
6.600000,100.0000,0.0000,99.7361,2.4695,74.5323,3.8879,105.6713,3.2264,104.9242,5.4732,-3705.2791,21.0617,0.6910,0.8396,0.0000,0.0000,0.0000,0.0000
6.700000,100.0000,0.0000,98.2829,2.9280,81.9536,5.5915,106.6289,1.7993,115.3716,7.8715,-3698.9175,11.7406,0.9987,0.9585,0.0000,0.0000,0.0000,0.0000
6.800000,100.0000,0.0000,98.2225,1.5425,81.3248,3.8905,107.4313,3.1061,114.4864,5.4769,-3693.7743,20.1817,0.8929,0.5961,0.0000,0.0000,0.0000,0.0000
6.900000,100.0000,0.0000,101.0175,2.1617,76.9039,4.3417,105.6051,4.1361,108.2628,6.1121,-3705.8028,26.8964,0.6559,0.5093,0.0000,0.0000,0.0000,0.0000
7.000000,100.0000,0.0000,96.6590,4.0836,84.3052,6.4448,108.2380,2.4257,118.6820,9.0728,-3688.4833,15.6875,0.8848,0.9042,0.0000,0.0000,0.0000,0.0000
7.100000,100.0000,0.0000,99.7336,2.3441,78.8291,4.7724,105.8329,2.3326,110.9731,6.7185,-3704.1543,15.3687,1.0302,0.7984,0.0000,0.0000,0.0000,0.0000
7.200000,100.0000,0.0000,100.0692,3.0958,77.9492,4.6812,105.4903,2.8551,109.7343,6.5901,-3706.4364,18.7352,0.6567,0.6293,0.0000,0.0000,0.0000,0.0000
