time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std,E_bond_kjmol,E_bond_kjmol_std,E_nonbonded_kjmol,E_nonbonded_kjmol_std,E_cav_harmonic_kjmol,E_cav_harmonic_kjmol_std,E_cav_coupling_kjmol,E_cav_coupling_kjmol_std,E_cav_dse_kjmol,E_cav_dse_kjmol_std
0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100000,100.0000,0.0000,99.7720,2.3102,79.9317,6.3813,108.6184,2.9804,112.5252,8.9833,-3686.0581,19.2842,2.0314,1.7522,0.0000,0.0000,0.0000,0.0000
0.200000,100.0000,0.0000,101.6902,3.9591,82.6786,5.1669,106.7058,3.4313,116.3922,7.2738,-3698.5347,22.5750,0.9085,0.5928,0.0000,0.0000,0.0000,0.0000
0.300000,100.0000,0.0000,99.5583,0.9871,87.1343,7.0408,106.8217,3.3054,122.6648,9.9118,-3697.7633,21.4943,2.1397,1.2628,0.0000,0.0000,0.0000,0.0000
0.400000,100.0000,0.0000,100.6072,2.5792,77.3658,5.5542,108.2756,1.4394,108.9131,7.8190,-3688.1888,9.3256,1.2401,0.8770,0.0000,0.0000,0.0000,0.0000
0.500000,100.0000,0.0000,99.7419,3.1183,83.9363,2.9861,107.4534,2.3190,118.1627,4.2037,-3693.5731,15.0528,1.5291,0.4299,0.0000,0.0000,0.0000,0.0000
0.600000,100.0000,0.0000,99.9490,2.3831,81.4333,10.0058,106.3528,2.1197,114.6392,14.0859,-3700.7387,13.9001,1.6432,1.3946,0.0000,0.0000,0.0000,0.0000
0.700000,100.0000,0.0000,101.4284,2.5278,77.0930,3.4632,106.6661,3.1092,108.5289,4.8753,-3698.7600,20.1029,1.1750,0.7405,0.0000,0.0000,0.0000,0.0000
0.800000,100.0000,0.0000,98.4543,2.5157,85.1662,2.3425,108.0760,3.1230,119.8942,3.2977,-3689.5863,20.2724,1.6019,0.9718,0.0000,0.0000,0.0000,0.0000
0.900000,100.0000,0.0000,100.6935,3.1008,79.4161,7.7765,108.0627,3.1437,111.7994,10.9475,-3689.6729,20.3162,1.2413,1.0101,0.0000,0.0000,0.0000,0.0000
