time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
5.200500,100.0000,97.5810,79.0848,102.2875,111.332971,-3727.474259,1.310663,-0.000000,0.000000
5.301000,100.0000,99.3084,85.7007,99.4394,120.646695,-3746.529259,0.706838,-0.000000,0.000000
5.400000,100.0000,98.7566,87.1529,101.6784,122.691011,-3731.528967,1.982277,0.000000,0.000000
5.500500,100.0000,97.0614,78.4876,106.2784,110.492286,-3701.163242,0.240834,0.000000,0.000000
5.601000,100.0000,96.8064,88.9175,104.5686,125.175072,-3712.380716,1.965731,-0.000000,0.000000
5.700000,100.0000,97.1801,80.1642,106.6759,112.852535,-3698.567011,1.223104,0.000000,0.000000
5.800500,100.0000,94.6687,90.3845,108.1811,127.240306,-3688.774362,0.992615,-0.000000,0.000000
5.901000,100.0000,100.9257,76.9183,102.7714,108.283080,-3724.259876,1.699774,0.000000,0.000000
6.000000,100.0000,100.1331,78.7513,102.5232,110.863558,-3725.907331,0.942149,0.000000,0.000000
6.100500,100.0000,95.2608,87.1640,102.3875,122.706662,-3726.809097,1.332395,0.000000,0.000000
6.201000,100.0000,93.0832,76.9576,105.2994,108.338359,-3707.576836,1.185405,-0.000000,0.000000
6.300000,100.0000,97.1245,84.7791,98.4406,119.349243,-3753.268534,1.389898,0.000000,0.000000
6.400500,100.0000,100.4211,77.6181,98.2822,109.268178,-3754.340100,1.487800,0.000000,0.000000
6.501000,100.0000,98.2718,83.9700,99.4463,118.210202,-3746.483042,0.754573,0.000000,0.000000
6.600000,100.0000,89.9039,87.9179,107.9654,123.767958,-3690.173589,1.514972,-0.000000,0.000000
6.700500,100.0000,98.9132,77.2656,102.2369,108.771957,-3727.810634,1.303765,0.000000,0.000000
6.801000,100.0000,96.6627,86.3946,99.8096,121.623509,-3744.039061,2.198645,0.000000,0.000000
6.900000,100.0000,97.3725,73.7535,99.5850,103.827761,-3745.549578,3.203832,-0.000000,0.000000
7.000500,100.0000,96.8256,84.3050,99.3619,118.681825,-3747.051186,0.758170,0.000000,0.000000
7.101000,100.0000,90.1917,79.3718,105.8733,111.737052,-3703.814033,4.448956,0.000000,0.000000
7.200000,100.0000,92.8857,77.8648,105.8890,109.615517,-3703.711449,0.426877,-0.000000,0.000000
7.300500,100.0000,100.6660,86.3573,100.7624,121.571005,-3737.647746,4.766991,-0.000000,0.000000
7.401000,100.0000,102.8256,79.3934,100.9406,111.767420,-3736.456029,0.964226,0.000000,0.000000
7.500000,100.0000,99.7502,90.1234,99.7556,126.872797,-3744.401976,2.044266,0.000000,0.000000
7.600500,100.0000,95.6194,77.5844,103.1107,109.220721,-3722.010209,4.210554,-0.000000,0.000000
7.701000,100.0000,96.6801,80.8726,101.8640,113.849761,-3730.292071,1.976609,-0.000000,0.000000
7.800000,100.0000,97.9228,82.7226,99.7618,116.454202,-3744.360259,6.773096,0.000000,0.000000
7.900500,100.0000,97.4762,78.6821,100.7516,110.766136,-3737.720484,0.193700,-0.000000,0.000000
8.001000,100.0000,93.6266,83.6593,99.8756,117.772754,-3743.595137,6.084095,-0.000000,0.000000
8.100000,100.0000,93.4338,77.0635,101.1181,108.487524,-3735.268793,2.387774,0.000000,0.000000
8.200500,100.0000,93.3010,81.3752,104.2458,114.557357,-3714.507952,2.920500,0.000000,0.000000
8.301000,100.0000,99.3611,78.3841,99.4948,110.346595,-3746.156569,1.659188,-0.000000,0.000000
8.400000,100.0000,98.2568,82.7545,100.6750,116.499014,-3738.232968,0.773246,-0.000000,0.000000
8.500500,100.0000,95.4064,87.6107,102.1328,123.335436,-3728.503138,4.129076,0.000000,0.000000
8.601000,100.0000,97.1546,76.9815,104.7245,108.371973,-3711.354696,0.253628,-0.000000,0.000000
8.700000,100.0000,98.3461,81.2974,101.9224,114.447857,-3729.903508,4.444791,-0.000000,0.000000
8.800500,100.0000,94.5084,82.5676,105.2580,116.235906,-3707.848252,0.978169,0.000000,0.000000
8.901000,100.0000,98.0044,84.4479,102.7211,118.883041,-3724.593311,5.001675,0.000000,0.000000
9.000000,100.0000,95.6743,83.6969,101.8127,117.825799,-3730.634221,2.215589,-0.000000,0.000000
